;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Kosten;-79.788,65;-127,19;16.485,00;-224,00;-10.931,38;-70,00;-46.947,96;;;;-517,00
Overige bedrijfskosten;-1.028,65;-127,19;1.047,00;-3,00;18,62;;-47.029,96;;;;-517,00
Andere kosten;-1.028,65;-127,19;1.047,00;-3,00;18,62;;-47.029,96;;;;-517,00
Administratie;-361,25;;;;;;;;;;0,00
Heffingsrente;-218,00;;;-3,00;;;;;;;0,00
Telefoon;30,00;;;;;;;;;;0,00
Afrondingsverschillen;-1,50;;;;;;;;;;0,00
Belastingrente;;;1.108,00;;;;-817,00;;;;0,00
Boetes belastingdienst;-194,00;;-61,00;;;;;;;;-517,00
Diversen;-283,90;-127,19;;;18,62;;;;;;0,00
Niet incasseerbaar;;;;;;;;;;;0,00
Dividentuitkering;;;;;;;-46.212,96;;;;0,00
Personeelskosten;-78.760,00;;;;;;;;;;0,00
Overige personeelskosten;-78.760,00;;;;;;;;;;0,00
Inhuur;-78.760,00;;;;;;;;;;0,00
Financiële baten en lasten;;;;;;;;;;;0,00
Kosten van schulden, rentelasten en soortgelijke kosten;;;;;;;;;;;0,00
Financieringskosten;;;;;;;;;;;0,00
Vennootschapsbelasting;;;15.438,00;-221,00;-10.950,00;-70,00;82,00;;;;0,00
Vennootschapsbelasting;;;15.438,00;-221,00;-10.950,00;-70,00;82,00;;;;0,00
Vennootschapsbelasting;;;15.438,00;-221,00;-10.950,00;-70,00;82,00;;;;0,00
Opbrengsten;2.481,11;;;;55.084,91;;;;;;0,00
Opbrengsten;2.481,11;;;;50.000,00;;;;;;0,00
Overige opbrengsten;2.481,11;;;;50.000,00;;;;;;0,00
Claim Moxio;;;;;50.000,00;;;;;;0,00
Correctie schattingen;;;;;;;;;;;0,00
Correctie voorgeschoten kosten M-industries 2010;2.481,11;;;;;;;;;;0,00
Financiële baten en lasten;;;;;5.084,91;;;;;;0,00
Opbrengsten van vorderingen op participanten en maatschappijen waarin wordt deelgenomen;;;;;5.084,91;;;;;;0,00
Ontvangen rente;;;;;5.084,91;;;;;;0,00
Grand Total;-77.307,54;-127,19;16.485,00;-224,00;44.153,53;-70,00;-46.947,96;;;;-517,00
